Coverage,Risk_Random,Risk_Deterministic,Risk_MCDropout,Risk_DeepEnsemble
0.000468,0.863245,1.0,1.0,1.0
0.005152,0.863245,0.835332,0.843074,0.909091
0.010304,0.863245,0.813397,0.761892,0.881818
0.015457,0.863245,0.852164,0.740903,0.908473
0.020141,0.863245,0.886544,0.763119,0.872677
0.025293,0.863245,0.885818,0.790134,0.891206
0.030445,0.863245,0.86326,0.806913,0.874269
0.035597,0.863245,0.875282,0.798911,0.877701
0.040281,0.863245,0.886346,0.789948,0.877263
0.045433,0.863245,0.89709,0.80157,0.874899
0.050585,0.863245,0.902521,0.796597,0.880188
0.055269,0.863245,0.908174,0.806912,0.883424
0.060422,0.863245,0.916004,0.803134,0.888955
0.065574,0.863245,0.911115,0.800632,0.894294
0.070726,0.863245,0.895272,0.808595,0.897874
0.07541,0.863245,0.891356,0.8063,0.892598
0.080562,0.863245,0.898304,0.806559,0.88728
0.085714,0.863245,0.88888,0.814541,0.889751
0.090867,0.863245,0.891001,0.817736,0.889656
0.09555,0.863245,0.894538,0.821625,0.889479
0.100703,0.863245,0.897134,0.826598,0.891258
0.105855,0.863245,0.902141,0.830038,0.893505
0.110539,0.863245,0.903254,0.822092,0.896666
0.115691,0.863245,0.902617,0.830015,0.891859
0.120843,0.863245,0.903521,0.837262,0.890778
0.125995,0.863245,0.899657,0.841159,0.888221
0.130679,0.863245,0.901691,0.843587,0.88311
0.135831,0.863245,0.903539,0.843906,0.884489
0.140984,0.863245,0.901671,0.847671,0.888711
0.145667,0.863245,0.899165,0.850938,0.880904
0.15082,0.863245,0.893738,0.852415,0.880486
0.155972,0.863245,0.89056,0.852939,0.877687
0.161124,0.863245,0.892316,0.856119,0.877943
0.165808,0.863245,0.890391,0.856988,0.878364
0.17096,0.863245,0.891346,0.854718,0.88203
0.176112,0.863245,0.8921,0.858968,0.880945
0.181265,0.863245,0.890994,0.86066,0.88108
0.185948,0.863245,0.884493,0.86417,0.880129
0.191101,0.863245,0.885837,0.862298,0.876031
0.196253,0.863245,0.885894,0.862191,0.875971
0.200937,0.863245,0.888554,0.862939,0.875038
0.206089,0.863245,0.889792,0.865183,0.875552
0.211241,0.863245,0.890498,0.863287,0.873352
0.216393,0.863245,0.889508,0.865969,0.875687
0.221077,0.863245,0.888802,0.86636,0.874883
0.22623,0.863245,0.887328,0.866822,0.871654
0.231382,0.863245,0.888574,0.86833,0.87278
0.236534,0.863245,0.887985,0.86498,0.874101
0.241218,0.863245,0.887548,0.863778,0.876546
0.24637,0.863245,0.887093,0.865424,0.874327
0.251522,0.863245,0.889406,0.867666,0.873018
0.256206,0.863245,0.88975,0.869856,0.872534
0.261358,0.863245,0.890387,0.870803,0.869941
0.266511,0.863245,0.889337,0.87137,0.868887
0.271663,0.863245,0.888927,0.871349,0.870684
0.276347,0.863245,0.885612,0.867964,0.871848
0.281499,0.863245,0.884717,0.868399,0.869882
0.286651,0.863245,0.885277,0.866189,0.869575
0.291335,0.863245,0.884719,0.867587,0.870301
0.296487,0.863245,0.885333,0.868614,0.87142
0.301639,0.863245,0.884965,0.869548,0.872016
0.306792,0.863245,0.883244,0.869531,0.873657
0.311475,0.863245,0.883326,0.868994,0.874603
0.316628,0.863245,0.882966,0.868286,0.876643
0.32178,0.863245,0.884027,0.868837,0.874153
0.326932,0.863245,0.881034,0.869737,0.871687
0.331616,0.863245,0.881944,0.86935,0.87272
0.336768,0.863245,0.879999,0.869006,0.871901
0.34192,0.863245,0.876663,0.87098,0.871911
0.346604,0.863245,0.877177,0.871415,0.872084
0.351756,0.863245,0.878976,0.873298,0.873338
0.356909,0.863245,0.87815,0.873904,0.872644
0.362061,0.863245,0.878516,0.874449,0.870378
0.366745,0.863245,0.878229,0.874146,0.869596
0.371897,0.863245,0.87597,0.872751,0.869066
0.377049,0.863245,0.87369,0.871383,0.866401
0.381733,0.863245,0.873426,0.871422,0.866282
0.386885,0.863245,0.875111,0.870625,0.865015
0.392037,0.863245,0.875852,0.870839,0.866514
0.39719,0.863245,0.872969,0.870912,0.865369
0.401874,0.863245,0.870668,0.869686,0.864576
0.407026,0.863245,0.870178,0.868259,0.864487
0.412178,0.863245,0.870227,0.867109,0.864683
0.41733,0.863245,0.871829,0.867041,0.863345
0.422014,0.863245,0.872212,0.867128,0.861764
0.427166,0.863245,0.8728,0.865785,0.860676
0.432319,0.863245,0.872525,0.866658,0.862337
0.437002,0.863245,0.869303,0.865573,0.862718
0.442155,0.863245,0.869007,0.865424,0.863304
0.447307,0.863245,0.868623,0.865471,0.86449
0.452459,0.863245,0.867612,0.865252,0.863962
0.457143,0.863245,0.867722,0.865334,0.863694
0.462295,0.863245,0.866327,0.865462,0.862684
0.467447,0.863245,0.865463,0.865285,0.861891
0.4726,0.863245,0.864143,0.865294,0.861103
0.477283,0.863245,0.862766,0.866505,0.859582
0.482436,0.863245,0.863387,0.867164,0.859736
0.487588,0.863245,0.862183,0.866712,0.858114
0.492272,0.863245,0.862224,0.866059,0.85811
0.497424,0.863245,0.862438,0.866875,0.858118
0.502576,0.863245,0.862428,0.865297,0.856991
0.507728,0.863245,0.860178,0.865779,0.857375
